molecule_chembl_id,canonical_smiles,standard_value
CHEMBL203329,N[C@H](CCc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,198.0
CHEMBL205836,C(=C/c1cncc(OCCCc2c[nH]c3ccccc23)c1)\c1ccncc1,50000.0
CHEMBL380958,OC(COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,24010.0
CHEMBL202893,CN(C)[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,1100.0
CHEMBL204012,Cn1cc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c2ccccc21,500.0
CHEMBL206198,N[C@H](COc1cc(/C=C/c2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12,273.0
CHEMBL379914,N[C@H](COc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,23.0
CHEMBL381808,N[C@@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,360.0
CHEMBL383541,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,14.0
CHEMBL206183,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1csc2ccccc12,142.0
CHEMBL381328,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccc2ccccc2c1,146.0
CHEMBL205871,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc2ccccc12,324.0
CHEMBL205410,N#Cc1cccc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c1,320.0
CHEMBL203685,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc(O)c1,875.0
CHEMBL206236,N[C@@H](COCc1ccccc1)COc1cncc(/C=C/c2ccncc2)c1,4040.0
CHEMBL381829,N[C@@H](CCc1ccccc1)COc1cncc(/C=C/c2ccncc2)c1,8020.0
CHEMBL203434,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)C(c1ccccc1)c1ccccc1,6760.0
CHEMBL203673,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccccc1,690.0
CHEMBL205645,C(=C/c1cncc(OC[C@@H]2CCCN2)c1)\c1ccncc1,23910.0
CHEMBL204213,C(=C/c1cncc(OC[C@@H]2CCN2)c1)\c1ccncc1,10870.0
CHEMBL204059,CC(C)[C@H](N)COc1cncc(/C=C/c2ccncc2)c1,19320.0
CHEMBL205820,NCCCOc1cncc(/C=C/c2ccncc2)c1,14710.0
CHEMBL206382,NCCOc1cncc(/C=C/c2ccncc2)c1,5080.0
CHEMBL606964,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1,125000.0
